Rank,College Name,Course,Alloted Category,Round,Year,College Category
63,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
65,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2024,Government
65,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2025,Government
66,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
67,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
68,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2024,Government
70,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
70,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
72,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
72,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
73,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
73,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
74,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2024,Government
74,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
75,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
76,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
77,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
77,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
78,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
79,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2024,Government
79,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
80,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
81,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
81,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
83,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
84,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
84,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
85,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2024,Government
85,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
86,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
87,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
88,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
89,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
90,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
90,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
91,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
91,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
92,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
93,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2024,Government
93,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2025,Government
94,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2025,Government
95,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2025,Government
96,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
97,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
97,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
98,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
99,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
100,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
100,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
101,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
102,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
103,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2025,Government
104,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
104,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
105,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
106,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
106,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
107,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
110,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
110,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2025,Government
111,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
111,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
112,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
112,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
113,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
113,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
114,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
114,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
115,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
115,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
116,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
117,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2024,Government
117,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
118,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2024,Government
118,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
119,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2024,Government
120,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2024,Government
120,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
121,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
121,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
122,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
122,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
123,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
123,"TCM : Govt. Medical College, Thrissur.",MBBS,SM,Round 3,2025,Government
124,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
124,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
125,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2024,Government
125,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
126,"TCM : Govt. Medical College, Thrissur.",MBBS,SM,Round 3,2025,Government
127,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
128,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2024,Government
128,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
129,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
129,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
130,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2024,Government
130,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
131,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2024,Government
131,"KTM : Govt. Medical College, Kottayam.",MBBS,SM,Round 3,2025,Government
132,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
133,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
133,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
134,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2024,Government
134,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
135,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
135,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
136,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
137,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
137,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
138,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
138,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
139,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2024,Government
139,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
140,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
140,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
141,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2024,Government
142,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
142,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
143,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
143,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
144,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
145,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2024,Government
145,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
146,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2024,Government
146,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
147,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
147,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
148,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
149,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
150,"KTM : Govt. Medical College, Kottayam.",MBBS,SM,Round 1,2024,Government
150,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
151,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
152,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2024,Government
152,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
153,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
153,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
154,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
155,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
155,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
156,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
156,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
157,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
157,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
158,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
158,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
159,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
159,"TCM : Govt. Medical College, Thrissur.",MBBS,SM,Round 3,2025,Government
160,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
160,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
161,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
161,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
162,"KTM : Govt. Medical College, Kottayam.",MBBS,SM,Round 1,2024,Government
162,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
163,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
164,"KTM : Govt. Medical College, Kottayam.",MBBS,SM,Round 3,2024,Government
164,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
165,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
165,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
166,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
166,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
167,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
167,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
168,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
168,"TCM : Govt. Medical College, Thrissur.",MBBS,SM,Round 1,2025,Government
169,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
170,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
170,"KTM : Govt. Medical College, Kottayam.",MBBS,SM,Round 3,2025,Government
171,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2024,Government
171,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
172,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
173,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
173,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
174,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
174,"KTM : Govt. Medical College, Kottayam.",MBBS,SM,Round 3,2025,Government
175,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
176,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
176,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
177,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
178,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
178,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
179,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
180,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
180,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
181,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
182,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
182,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
183,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
183,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
184,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
184,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
185,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
185,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
186,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
186,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
187,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
188,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
188,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
189,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
189,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
190,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
190,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2025,Government
191,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
191,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
192,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2024,Government
192,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
193,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
193,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
194,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
194,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM LA,Round 1,2025,Government
195,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
195,"KTM : Govt. Medical College, Kottayam.",MBBS,SM,Round 3,2025,Government
196,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
196,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
197,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
197,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
198,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
199,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
200,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
200,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
201,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
202,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2025,Government
203,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
203,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
204,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
205,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
205,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
206,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
206,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
207,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2024,Government
207,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
208,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2024,Government
208,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
209,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
209,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
210,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
210,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
211,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2024,Government
211,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
212,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
212,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
213,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
213,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
214,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
214,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2025,Government
215,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
215,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
216,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
217,"KTM : Govt. Medical College, Kottayam.",MBBS,SM,Round 3,2024,Government
217,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2025,Government
218,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
218,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
219,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2024,Government
219,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
220,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
220,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
221,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2024,Government
221,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
222,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2024,Government
222,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
223,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
223,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
224,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2024,Government
224,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
225,"KTM : Govt. Medical College, Kottayam.",MBBS,SM,Round 3,2024,Government
225,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
226,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
